2023/12/04 18:36:10;up;172.20.0.2;;4d16e43a4412;02:42:AC:14:00:02;
2023/12/04 18:36:10;up;172.20.0.1;;;02:42:6E:C1:EB:8C;
2023/12/04 18:36:10;up;172.20.0.3;;minutemanthreathunter-webserver-1.minutemanthreathunter_internalnet;02:42:AC:14:00:03;
2023/12/04 18:36:10;up;172.20.0.4;;minutemanthreathunter-mailserver-1.minutemanthreathunter_internalnet;02:42:AC:14:00:04;
2023/12/04 18:36:10;up;172.20.0.5;;minutemanthreathunter-sshserver-1.minutemanthreathunter_internalnet;02:42:AC:14:00:05;
2023/12/04 18:36:10;up;172.20.0.6;;minutemanthreathunter-ftpserver-1.minutemanthreathunter_internalnet;02:42:AC:14:00:06;
2023/12/04 18:37:11;up;172.20.0.2;;4d16e43a4412;02:42:AC:14:00:02;
2023/12/04 18:37:11;up;172.20.0.1;;;02:42:6E:C1:EB:8C;
2023/12/04 18:37:11;up;172.20.0.3;;minutemanthreathunter-webserver-1.minutemanthreathunter_internalnet;02:42:AC:14:00:03;
2023/12/04 18:37:11;up;172.20.0.4;;minutemanthreathunter-mailserver-1.minutemanthreathunter_internalnet;02:42:AC:14:00:04;
2023/12/04 18:37:11;up;172.20.0.5;;minutemanthreathunter-sshserver-1.minutemanthreathunter_internalnet;02:42:AC:14:00:05;
2023/12/04 18:37:11;up;172.20.0.6;;minutemanthreathunter-ftpserver-1.minutemanthreathunter_internalnet;02:42:AC:14:00:06;
